date,county,state_name,fips,cases,deaths,state,pop2010,pop2019,prev2019
2020-03-24,Autauga,Alabama,1001.0,1,0,AL,54571,55869,0.0017899013764341586
2020-03-25,Autauga,Alabama,1001.0,4,0,AL,54571,55869,0.007159605505736634
2020-03-26,Autauga,Alabama,1001.0,6,0,AL,54571,55869,0.01073940825860495
2020-03-27,Autauga,Alabama,1001.0,6,0,AL,54571,55869,0.01073940825860495
2020-03-28,Autauga,Alabama,1001.0,6,0,AL,54571,55869,0.01073940825860495
2020-03-29,Autauga,Alabama,1001.0,6,0,AL,54571,55869,0.01073940825860495
2020-03-30,Autauga,Alabama,1001.0,7,0,AL,54571,55869,0.012529309635039109
2020-03-31,Autauga,Alabama,1001.0,7,0,AL,54571,55869,0.012529309635039109
2020-04-01,Autauga,Alabama,1001.0,10,0,AL,54571,55869,0.017899013764341585
2020-04-02,Autauga,Alabama,1001.0,10,0,AL,54571,55869,0.017899013764341585
2020-04-03,Autauga,Alabama,1001.0,12,0,AL,54571,55869,0.0214788165172099
2020-04-04,Autauga,Alabama,1001.0,12,0,AL,54571,55869,0.0214788165172099
2020-04-05,Autauga,Alabama,1001.0,12,0,AL,54571,55869,0.0214788165172099
2020-03-14,Baldwin,Alabama,1003.0,1,0,AL,182265,223234,0.0004479604361342806
2020-03-15,Baldwin,Alabama,1003.0,1,0,AL,182265,223234,0.0004479604361342806
2020-03-16,Baldwin,Alabama,1003.0,1,0,AL,182265,223234,0.0004479604361342806
2020-03-17,Baldwin,Alabama,1003.0,1,0,AL,182265,223234,0.0004479604361342806
2020-03-18,Baldwin,Alabama,1003.0,1,0,AL,182265,223234,0.0004479604361342806
2020-03-19,Baldwin,Alabama,1003.0,1,0,AL,182265,223234,0.0004479604361342806
2020-03-20,Baldwin,Alabama,1003.0,2,0,AL,182265,223234,0.0008959208722685612
2020-03-21,Baldwin,Alabama,1003.0,2,0,AL,182265,223234,0.0008959208722685612
2020-03-22,Baldwin,Alabama,1003.0,2,0,AL,182265,223234,0.0008959208722685612
2020-03-23,Baldwin,Alabama,1003.0,3,0,AL,182265,223234,0.0013438813084028418
2020-03-24,Baldwin,Alabama,1003.0,4,0,AL,182265,223234,0.0017918417445371225
2020-03-25,Baldwin,Alabama,1003.0,4,0,AL,182265,223234,0.0017918417445371225
2020-03-26,Baldwin,Alabama,1003.0,5,0,AL,182265,223234,0.002239802180671403
2020-03-27,Baldwin,Alabama,1003.0,5,0,AL,182265,223234,0.002239802180671403
2020-03-28,Baldwin,Alabama,1003.0,10,0,AL,182265,223234,0.004479604361342806
2020-03-29,Baldwin,Alabama,1003.0,15,0,AL,182265,223234,0.006719406542014209
2020-03-30,Baldwin,Alabama,1003.0,18,0,AL,182265,223234,0.008063287850417052
2020-03-31,Baldwin,Alabama,1003.0,19,0,AL,182265,223234,0.008511248286551332
2020-04-01,Baldwin,Alabama,1003.0,23,1,AL,182265,223234,0.010303090031088454
2020-04-02,Baldwin,Alabama,1003.0,25,1,AL,182265,223234,0.011199010903357015
2020-04-03,Baldwin,Alabama,1003.0,28,1,AL,182265,223234,0.012542892211759858
